"DAC_DONOR","Donor","PART","Part","TRANSACTYPE","Aid type","FLOWS","Fund flows","DATATYPE","Amount type","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","N","National currency","2009","2009",,,"0","Units",,,3534.8608,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","N","National currency","2010","2010",,,"0","Units",,,4171.21422,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","N","National currency","2011","2011",,,"0","Units",,,4829.436372,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","N","National currency","2012","2012",,,"0","Units",,,5219.0082,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","N","National currency","2013","2013",,,"0","Units",,,5023.381685,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","N","National currency","2014","2014",,,"0","Units",,,4861.856748,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","N","National currency","2015","2015",,,"0","Units",,,4649.645549,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","N","National currency","2016","2016",,,"0","Units",,,4409.247656,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","N","National currency","2017","2017",,,"0","Units",,,3961.624204,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","N","National currency","2018","2018",,,"0","Units",,,4215.5663,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","A","Current Prices","2000","2000","USD","US Dollar","6","Millions",,,439.7,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","A","Current Prices","2001","2001","USD","US Dollar","6","Millions",,,633.09,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","A","Current Prices","2002","2002","USD","US Dollar","6","Millions",,,520.16,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","A","Current Prices","2003","2003","USD","US Dollar","6","Millions",,,504.78,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","A","Current Prices","2004","2004","USD","US Dollar","6","Millions",,,677.63,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","A","Current Prices","2005","2005","USD","US Dollar","6","Millions",,,1573.32,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","A","Current Prices","2006","2006","USD","US Dollar","6","Millions",,,1498.43,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","A","Current Prices","2007","2007","USD","US Dollar","6","Millions",,,1808.46,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","A","Current Prices","2008","2008","USD","US Dollar","6","Millions",,,1713.51,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","A","Current Prices","2009","2009","USD","US Dollar","6","Millions",,,1141.78,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","A","Current Prices","2010","2010","USD","US Dollar","6","Millions",,,1208.42,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","A","Current Prices","2011","2011","USD","US Dollar","6","Millions",,,1111.37,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","A","Current Prices","2012","2012","USD","US Dollar","6","Millions",,,1105.75,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","A","Current Prices","2013","2013","USD","US Dollar","6","Millions",,,1171.49,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","A","Current Prices","2014","2014","USD","US Dollar","6","Millions",,,1234.52,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","A","Current Prices","2015","2015","USD","US Dollar","6","Millions",,,1323.51,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","A","Current Prices","2016","2016","USD","US Dollar","6","Millions",,,1635.48,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","A","Current Prices","2017","2017","USD","US Dollar","6","Millions",,,1251.27,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","A","Current Prices","2018","2018","USD","US Dollar","6","Millions",,,1167.22,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","D","Constant Prices","2000","2000","USD","US Dollar","6","Millions","2018","2018",773.168299,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","D","Constant Prices","2001","2001","USD","US Dollar","6","Millions","2018","2018",1123.73595,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","D","Constant Prices","2002","2002","USD","US Dollar","6","Millions","2018","2018",867.23036,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","D","Constant Prices","2003","2003","USD","US Dollar","6","Millions","2018","2018",692.989676,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","D","Constant Prices","2004","2004","USD","US Dollar","6","Millions","2018","2018",831.658543,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","D","Constant Prices","2005","2005","USD","US Dollar","6","Millions","2018","2018",1882.913292,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","D","Constant Prices","2006","2006","USD","US Dollar","6","Millions","2018","2018",1742.458732,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","D","Constant Prices","2007","2007","USD","US Dollar","6","Millions","2018","2018",1886.276921,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","D","Constant Prices","2008","2008","USD","US Dollar","6","Millions","2018","2018",1663.61798,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","D","Constant Prices","2009","2009","USD","US Dollar","6","Millions","2018","2018",1126.948646,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","D","Constant Prices","2010","2010","USD","US Dollar","6","Millions","2018","2018",1242.896635,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","D","Constant Prices","2011","2011","USD","US Dollar","6","Millions","2018","2018",1069.393153,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","D","Constant Prices","2012","2012","USD","US Dollar","6","Millions","2018","2018",1127.791041,,
"1","Austria","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","D","Constant Prices","2013","2013","USD","US Dollar","6","Millions","2018","2018",1137.905139,,
